Time,RT,kW_Tot,kW_RT,CH Load,CH1,CH2,CH3,CH4,kW_CHH,kW_CHP,kW_CHS,kW_CDS,kW_CT,GPM,DeltaCHW,CHWS,CHWR,DeltaCDW,CDHI,CDLO,WBT,DeltaCT,Hz_ CHP,Hz_CHS,Hz_CDS,Hz_CT,Precent_CH,Precent_ CHP,Precent_CDS,Precent_CT
2024-08-02 10:00:00,375.43333333333334,304.09999999999997,0.8105000000000001,66.48333333333333,1.0,0.0,0.0,0.0,225.66666666666666,24.05,0.0,33.53333333333333,20.766666666666666,1393.2833333333335,6.466666666666666,45.0,51.46666666666667,6.466666666666666,89.56666666666666,83.10000000000001,72.7,-10.4,48.0,0.0,48.0,49.0,74.21666666666667,7.916666666666667,11.049999999999999,6.816666666666666
2024-08-02 11:00:00,368.81666666666666,310.9166666666667,0.8441666666666667,67.61666666666667,1.0,0.0,0.0,0.0,229.63333333333333,24.133333333333336,0.0,35.28333333333333,21.866666666666664,1394.0333333333335,6.3500000000000005,45.083333333333336,51.43333333333334,6.316666666666666,89.41666666666667,83.10000000000001,72.7,-10.4,48.0,0.0,48.833333333333336,49.833333333333336,73.85000000000001,7.766666666666667,11.333333333333334,7.033333333333334
2024-08-02 12:00:00,380.4666666666667,312.7,0.8231666666666667,68.11666666666666,1.0,0.0,0.0,0.0,231.11666666666667,24.083333333333332,0.0,35.583333333333336,21.900000000000002,1394.0333333333335,6.55,45.03333333333333,51.583333333333336,6.183333333333334,90.43333333333334,84.25,72.7,-11.549999999999999,48.0,0.0,49.0,50.0,73.86666666666666,7.733333333333333,11.4,7.033333333333334
2024-08-02 13:00:00,391.55,319.3333333333333,0.8158333333333333,70.0,1.0,0.0,0.0,0.0,237.58333333333334,24.21666666666667,0.0,35.666666666666664,21.900000000000002,1395.7333333333333,6.733333333333333,44.96666666666667,51.699999999999996,6.383333333333333,91.35000000000001,84.96666666666667,72.7,-12.266666666666666,48.0,0.0,49.0,50.0,74.36666666666666,7.6000000000000005,11.216666666666667,6.883333333333333
2024-08-02 14:00:00,387.1166666666666,323.3833333333334,0.8344999999999999,71.14999999999999,1.0,0.0,0.0,0.0,241.63333333333333,24.183333333333334,0.0,35.6,21.933333333333334,1393.6666666666667,6.666666666666667,45.13333333333333,51.800000000000004,6.533333333333334,91.41666666666667,84.88333333333334,72.7,-12.183333333333332,48.0,0.0,49.0,50.0,74.63333333333334,7.5,11.049999999999999,6.8
2024-08-02 15:00:00,392.2166666666667,315.56666666666666,0.8056666666666666,68.96666666666665,1.0,0.0,0.0,0.0,233.95000000000002,24.166666666666668,0.0,35.65,21.833333333333332,1394.6000000000001,6.75,45.1,51.85,6.516666666666667,91.03333333333335,84.51666666666667,72.7,-11.816666666666668,48.0,0.0,49.0,50.0,74.11666666666667,7.666666666666667,11.299999999999999,6.933333333333334
2024-08-02 16:00:00,401.5,332.65000000000003,0.8290000000000001,74.01666666666667,1.0,0.0,0.0,0.0,251.04999999999998,24.150000000000002,0.0,35.65,21.78333333333333,1403.1833333333334,6.866666666666667,45.26666666666667,52.13333333333333,6.933333333333334,91.73333333333333,84.8,72.7,-12.1,48.0,0.0,49.0,50.0,75.38333333333333,7.283333333333334,10.733333333333334,6.566666666666666
2024-08-02 17:00:00,405.8666666666666,341.7833333333333,0.8421666666666666,76.61666666666666,1.0,0.0,0.0,0.0,260.25,24.25,0.0,35.483333333333334,21.816666666666666,1411.7,6.8999999999999995,44.96666666666667,51.86666666666667,7.066666666666666,91.81666666666666,84.75,72.7,-12.049999999999999,48.0,0.0,49.0,50.0,76.10000000000001,7.1000000000000005,10.416666666666666,6.3999999999999995
2024-08-02 18:00:00,382.63333333333327,317.25,0.8305000000000001,69.41666666666667,1.0,0.0,0.0,0.0,235.5666666666667,24.233333333333334,0.0,35.61666666666667,21.833333333333332,1401.8666666666668,6.550000000000001,45.36666666666667,51.916666666666664,6.683333333333334,91.38333333333333,84.7,72.7,-12.0,48.0,0.0,49.0,50.0,74.18333333333334,7.666666666666667,11.266666666666666,6.8999999999999995
2024-08-02 19:00:00,314.0333333333333,280.6333333333333,0.8983333333333333,59.833333333333336,1.0,0.0,0.0,0.0,203.08333333333334,22.883333333333336,0.0,33.85,20.833333333333332,1365.7166666666665,5.516666666666667,44.916666666666664,50.43333333333334,5.75,89.48333333333333,83.73333333333333,72.7,-11.033333333333333,47.166666666666664,0.0,48.166666666666664,49.166666666666664,72.35000000000001,8.183333333333334,12.066666666666668,7.433333333333334
